id,userName,orderValue
1,username1,82.90004242759771
2,username2,19.262902213081222
3,username3,79.46574902300901
4,username4,16.60164374607006
5,username5,13.165745155604114
6,username6,3.6457182084686957
7,username7,74.09108380330655
8,username8,37.31280469730554
9,username9,86.07131533768175
10,username10,50.88664300705009
11,username11,93.73635882029717
12,username12,22.784964363098346
13,username13,10.719308947271989
14,username14,97.02576218542595
15,username15,64.4405040839097
16,username16,0.03543330865475314
17,username17,62.694931245471466
18,username18,67.50112830871068
19,username19,67.72856273762153
20,username20,66.90463623554233
21,username21,35.12732236577105
22,username22,52.09334455140057
23,username23,12.66098007909009
24,username24,71.84515087260026
25,username25,87.3561892724898
26,username26,15.689709801503781
27,username27,24.610528747702386
28,username28,9.276807335303182
29,username29,51.10532838936067
30,username30,35.8717418623942
31,username31,4.62815551326512
32,username32,74.08239756104528
33,username33,99.1579567853108
34,username34,90.26947801060743
35,username35,28.61636074032967
36,username36,73.33896262175512
37,username37,14.915595428104533
38,username38,36.34757700429585
39,username39,80.2442993181904
40,username40,31.026171103689613
41,username41,39.64023475918314
42,username42,50.78377314319069
43,username43,44.89542942426408
44,username44,28.073355145411572
45,username45,6.35577614698698
46,username46,37.28461307064704
47,username47,99.44725863796059
48,username48,61.76522076006972
49,username49,98.81022705226333
50,username50,32.15974796298043
51,username51,45.12951211804054
52,username52,31.856136783797083
53,username53,48.772744781771095
54,username54,63.49955274955615
55,username55,2.1164280944156233
56,username56,46.61513346690567
57,username57,64.71752932189554
58,username58,28.547842610989292
59,username59,91.57134326308014
60,username60,4.972907144558203
61,username61,52.72149295210864
62,username62,64.75776655341204
63,username63,3.294970624731852
64,username64,65.53185034615636
65,username65,98.02721940057721
66,username66,45.52287742538964
67,username67,91.58703554657902
68,username68,28.25171755046181
69,username69,36.55513523588467
70,username70,68.47372923752305
71,username71,96.86040902310947
72,username72,25.763202890903734
73,username73,63.81676296531609
74,username74,69.16902455126728
75,username75,54.96571804291415
76,username76,12.340964479347727
77,username77,59.969687957418905
78,username78,84.45419511442634
